Company,Website,Playbook_Type,Playbook_Reasoning,Target_Persona_1,Target_Persona_2,Target_Persona_3,Named_Value_Prop_1,Named_Value_Prop_2,Email_Subject_Template,Email_Body_Snippet,Contact_Name_1,Contact_Title_1,Contact_Email_1,Contact_LinkedIn_1,Contact_Name_2,Contact_Title_2,Contact_Email_2,Contact_LinkedIn_2,Contact_Name_3,Contact_Title_3,Contact_Email_3,Contact_LinkedIn_3
NXXIM,nxxim.com,Practitioner - Head of Growth,Early-stage growth marketing company focused on A/B testing and personalization,Head of Growth,VP Product Marketing,Head of Demand Generation,"The A/B Testing Chaos Problem","The Conversion Rate Plateau","Your experimentation backlog is growing faster than insights","[FirstName] - most growth teams at your stage have 50+ experiments in backlog but can't prioritize which will move the needle. Your analytics show what happened, but not why or what to test next...",,,,,,,,,,,,
Harness,harness.io,Milestone - Series E Enterprise Scaling,Large Series E ($240M) scaling enterprise DevOps/Cloud operations,VP of Platform Engineering,Head of Cloud Operations,VP of DevOps,"The DevOps Tool Sprawl Crisis","The Cloud Cost Surprise Tax","Your $240M just made cloud costs your board's #1 question","[FirstName] - Series E companies like Harness face brutal pressure: triple deployment velocity AND cut cloud costs 30%. Your 15+ DevOps tools create operational chaos...",,,,,,,,,,,,
InsightX,insightx.com,Practitioner - VP Product Analytics,Series A product analytics company centralizing customer data,VP of Product,Head of Customer Success,Director of Analytics,"The Data Silo Problem","The Attribution Black Hole","You can't connect product usage to revenue (and it's costing deals)","[FirstName] - your product team uses Mixpanel, marketing uses HubSpot, CS uses Gainsight. When prospects ask 'which features drive retention?' you're pulling 3 dashboards...",,,,,,,,,,,,
Double,double.com,Practitioner - Startup Operations,Series A virtual assistant platform for startup executives,Head of Operations,Chief of Staff,VP of Revenue Operations,"The Executive Time Leak","The Startup Admin Tax","Your exec team is spending 20 hrs/week on admin instead of strategy","[FirstName] - early-stage founders tell us they spend 15-20 hours weekly on calendaring, expense reports, and travel booking. That's $50K/month of exec time on $20/hr work...",,,,,,,,,,,,
LI.FI,li.fi,Sector - Web3/Crypto Infrastructure,Crypto infrastructure for cross-chain token transfers,Head of Business Development,VP of Partnerships,Head of Growth,"The Cross-Chain Integration Nightmare","The Bridge Security Paranoia","60+ chains means 60+ integration nightmares (or one API call)","[FirstName] - web3 builders waste 6+ months integrating bridges across chains. Each new chain = new security audit, new edge cases, new maintenance burden...",,,,,,,,,,,,
On Me,onme.com,Milestone - Enterprise B2B Gift Card Platform,Mid-market to enterprise digital benefits platform,VP of Partnerships,Head of Enterprise Sales,Director of Business Development,"The Gift Card Distribution Chaos","The Employee Benefits Friction Tax","Your gift card program has 15 vendors and zero visibility","[FirstName] - HR teams managing employee rewards across Starbucks, Amazon, Visa gift cards face: 15 vendor portals, manual reconciliation, zero analytics on redemption...",,,,,,,,,,,,
Serval,serval.co,Milestone - Unicorn Customer Success Scaling,Unicorn ($1B) SaaS company scaling customer onboarding automation,VP of Customer Success,Head of Product,VP of Operations,"The Customer Success Scaling Wall","The Onboarding Time-to-Value Gap","1000 customers, 15 CSMs, breaking point approaching","[FirstName] - unicorn SaaS companies hit brutal CS scaling wall: customer count growing 3x faster than CS headcount. Your 90-day onboarding scares prospects...",,,,,,,,,,,,
Revibe,revibe.co,Milestone - Series A Marketing Ops Scaling,Series A ($17M) retention/re-engagement automation,Head of Marketing,VP of Customer Success,Director of Lifecycle Marketing,"The Dormant User Revenue Leak","The Re-engagement Campaign Chaos","40% of your users churned = $2M ARR sitting dormant","[FirstName] - Series A SaaS companies lose 30-40% of users to dormancy. Your manual re-engagement emails get 2% open rates because they're generic blasts...",,,,,,,,,,,,
Saladin,saladin.ai,Practitioner - VP of Sales Development,Series A AI sales automation for B2B outbound,VP of Sales Development,Head of Revenue Operations,VP of Marketing,"The SDR Burnout Treadmill","The Outbound Personalization Paradox","Your SDRs are burning out on manual personalization at scale","[FirstName] - B2B sales teams face impossible math: board wants 3x pipeline, but your SDRs can only personalize 50 emails/day. AI spam is killing response rates...",,,,,,,,,,,,
Verisoul,verisoul.com,Practitioner - Head of Growth/Trust & Safety,Series A ($8.8M) fraud detection for digital platforms,Head of Trust & Safety,VP of Growth,Head of Product,"The Fake Account Revenue Leak","The Fraud Detection Friction Paradox","10% of your signups are fake = $500K ARR lost to fraud","[FirstName] - high-growth SaaS platforms lose 8-12% of ARR to fake accounts and fraud. Your legacy fraud tools block real users (conversion killer) or miss sophisticated bots...",,,,,,,,,,,,
