Company,Website,Funding_Stage,Playbook_Type,Playbook_Reasoning,Persona_1_Title,Persona_2_Title,Persona_3_Title,Named_Value_Prop_1,Named_Value_Prop_2,Named_Value_Prop_3,Email_Subject,Email_Snippet,Contact_1_Name,Contact_1_Email,Contact_1_LinkedIn,Contact_2_Name,Contact_2_Email,Contact_2_LinkedIn,Contact_3_Name,Contact_3_Email,Contact_3_LinkedIn
NXXIM,nxxim.com,Seed/Early,Practitioner - Head of Growth,Early-stage growth marketing/A/B testing platform,Head of Growth,VP Product Marketing,Head of Demand Gen,"The A/B Testing Chaos Problem - 50+ experiments, zero prioritization framework","The Conversion Rate Plateau - Traffic up 3x, conversions flat","The Personalization Paradox - Want to personalize but lack infrastructure","Your experimentation backlog is growing faster than insights","Most growth teams have 50+ experiments queued but can't prioritize which moves the needle. Your analytics show what happened, not what to test next...",[FIND ON LINKEDIN],[email@nxxim.com],[linkedin.com/in/xxx],[FIND],[email@nxxim.com],[linkedin],[FIND],[email@nxxim.com],[linkedin]
Harness,harness.io,Series E ($240M),Milestone - Series E Enterprise Scaling,Large enterprise scaling DevOps/Cloud operations,VP Platform Engineering,Head of Cloud Ops,VP of DevOps,"The DevOps Tool Sprawl Crisis - 15+ tools, no unified workflow","The Cloud Cost Surprise Tax - $500K/month with zero visibility","The Release Velocity Bottleneck - Want faster deploys but governance blocks","Your $240M Series E just made cloud costs your board's top question","Series E companies face brutal pressure: triple deployment velocity AND cut cloud costs 30%. Your 15+ DevOps tools create operational chaos. Board wants answers next quarter...",[FIND],[email@harness.io],[linkedin],[FIND],[email@harness.io],[linkedin],[FIND],[email@harness.io],[linkedin]
InsightX,insightx.com,Series A ($600M likely $60M),Practitioner - VP Product Analytics,Product analytics platform centralizing customer data,VP of Product,Head of Customer Success,Director of Analytics,"The Data Silo Problem - Product in Mixpanel, marketing in HubSpot, CS in Gainsight","The Attribution Black Hole - Can't connect product usage to revenue","The Dashboard Fatigue Crisis - 20 dashboards, zero actionable insights","You can't connect product usage to revenue (and it's costing deals)","Your product team uses Mixpanel, marketing uses HubSpot, CS uses Gainsight. When enterprise prospects ask 'which features drive retention?' you're frantically pulling 3 dashboards...",[FIND],[email@insightx.com],[linkedin],[FIND],[email@insightx.com],[linkedin],[FIND],[email@insightx.com],[linkedin]
Double,double.com,Series A ($6.5M),Practitioner - Startup Operations,Virtual assistant platform for startup executives,Head of Operations,Chief of Staff,VP Revenue Ops,"The Executive Time Leak - 20 hrs/week on admin = $50K/month waste","The Startup Admin Tax - Calendaring/expenses blocking strategic work","The Scaling Chaos - Growing too fast to hire full-time ops team","Your exec team spends 20 hrs/week on admin instead of strategy","Early-stage founders spend 15-20 hours weekly on calendaring, expenses, travel booking. That's $50K/month of executive time on $20/hr work. Meanwhile strategic initiatives sit in backlog...",[FIND],[email@double.com],[linkedin],[FIND],[email@double.com],[linkedin],[FIND],[email@double.com],[linkedin]
LI.FI,li.fi,Series (Crypto - $29M),Sector - Web3 Infrastructure,Crypto cross-chain infrastructure for wallets/DeFi,Head of Business Dev,VP of Partnerships,Head of Growth,"The Cross-Chain Integration Nightmare - 60 chains = 60 integrations","The Bridge Security Paranoia - Each new chain = new audit","The DeFi UX Friction Tax - Users can't move assets between chains","60+ chains means 60+ integration nightmares (or one API)","Web3 builders waste 6+ months integrating bridges across 60+ chains. Each new chain = new security audit, edge cases, maintenance burden. Users abandon transactions that require 5+ steps...",[FIND],[email@li.fi],[linkedin],[FIND],[email@li.fi],[linkedin],[FIND],[email@li.fi],[linkedin]
On Me,onme.com,Series A ($6M),Milestone - Enterprise B2B Platform,Digital gift card/benefits platform for enterprises,VP of Partnerships,Head of Enterprise Sales,Director of BD,"The Gift Card Distribution Chaos - 15 vendors, zero visibility","The Employee Benefits Friction Tax - Manual reconciliation nightmare","The Incentive Program ROI Black Hole - Can't measure engagement","Your gift card program has 15 vendors and zero visibility","HR teams managing employee rewards across Starbucks, Amazon, Visa gift cards face: 15 vendor portals, manual reconciliation monthly, zero analytics on redemption rates, compliance headaches...",[FIND],[email@onme.com],[linkedin],[FIND],[email@onme.com],[linkedin],[FIND],[email@onme.com],[linkedin]
Serval,serval.co,Unicorn ($1B valuation),Milestone - Unicorn CS Scaling,Unicorn SaaS scaling customer success automation,VP Customer Success,Head of Product,VP of Operations,"The Customer Success Scaling Wall - 1000 customers, 15 CSMs","The Onboarding Time-to-Value Gap - 90-day onboarding scares prospects","The Churn Prediction Blindspot - Reactive firefighting vs proactive retention","1000 customers, 15 CSMs, breaking point approaching","Unicorn SaaS companies hit brutal CS scaling wall: customer count growing 3x faster than CSM headcount. Your 90-day onboarding scares enterprise prospects. Can't predict churn until it's too late...",[FIND],[email@serval.co],[linkedin],[FIND],[email@serval.co],[linkedin],[FIND],[email@serval.co],[linkedin]
Revibe,revibe.co,Series A ($17M),Milestone - Series A Marketing Ops,Retention/re-engagement automation for SaaS/ecommerce,Head of Marketing,VP Customer Success,Director Lifecycle Marketing,"The Dormant User Revenue Leak - 40% churned = $2M ARR lost","The Re-engagement Campaign Chaos - Manual blasts, 2% open rates","The LTV Optimization Blind Spot - Don't know which segments to re-engage","40% of your users churned = $2M ARR sitting dormant","Series A SaaS companies lose 30-40% users to dormancy. Your manual re-engagement emails get 2% open rates because they're generic blasts. Can't identify which dormant users are worth saving...",[FIND],[email@revibe.co],[linkedin],[FIND],[email@revibe.co],[linkedin],[FIND],[email@revibe.co],[linkedin]
Saladin,saladin.ai,Series A,Practitioner - VP Sales Development,AI sales automation for B2B outbound SDR teams,VP Sales Development,Head of RevOps,VP of Marketing,"The SDR Burnout Treadmill - Can only personalize 50 emails/day","The Outbound Personalization Paradox - AI spam killing response rates","The Pipeline Generation Plateau - Board wants 3x, SDRs maxed out","Your SDRs are burning out on manual personalization at scale","B2B sales teams face impossible math: board wants 3x pipeline, but SDRs can only personalize 50 emails/day. Generic AI spam is killing response rates. Can't hire fast enough to hit targets...",[FIND],[email@saladin.ai],[linkedin],[FIND],[email@saladin.ai],[linkedin],[FIND],[email@saladin.ai],[linkedin]
Verisoul,verisoul.com,Series A ($8.8M),Practitioner - Head of Trust & Safety,Fraud detection for high-growth digital platforms,Head of Trust & Safety,VP of Growth,Head of Product,"The Fake Account Revenue Leak - 10% of signups = $500K ARR lost","The Fraud Detection Friction Paradox - Block bots OR block real users","The Abuse Cost Multiplier - Support tickets eating margins","10% of your signups are fake = $500K ARR lost to fraud","High-growth SaaS platforms lose 8-12% of ARR to fake accounts. Your legacy fraud tools block real users (conversion killer) or miss sophisticated bots. Support team drowns in abuse tickets...",[FIND],[email@verisoul.com],[linkedin],[FIND],[email@verisoul.com],[linkedin],[FIND],[email@verisoul.com],[linkedin]
